Date,AQI,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene
10/5/2020,343,37.91929916,67.61396848,14.50928065,20.06666933,24.90073997,22.16221064,0.623295993,5.924847789,32.11879747,1.270373824,15.15572013,0.933176578
10/6/2020,262,41.28898123,79.36294456,16.47585074,22.57729128,27.56991161,22.33400093,0.632913732,5.93592683,32.91816094,1.608551811,17.36584785,1.06669547
10/7/2020,308,45.33381651,90.0342643,19.0480671,24.09689201,29.60436981,22.7168989,0.671413891,6.728648203,34.02800153,1.763960131,18.05600537,1.069787783
10/8/2020,293,50.50312065,100.7269481,22.53727051,24.43643471,32.40566471,22.62700337,0.774779472,6.967481321,35.37955609,2.031510908,19.36778101,1.215186647
10/9/2020,290,52.57654122,106.7515281,21.96402759,24.31042173,32.29260786,22.46409773,0.680159438,7.332340318,36.07251504,1.996759217,19.25912224,1.343081327
10/10/2020,375,54.50321462,105.8386477,24.28439362,24.48526926,32.86885435,23.23832693,0.703884232,7.35651977,34.9478219,2.044843543,19.27480547,1.222065351
10/11/2020,293,57.8916209,111.1785258,25.28660382,23.66295297,32.89865643,23.59674041,0.811126238,8.006933611,37.07430688,1.955316227,18.56412979,1.264903446
10/12/2020,247,61.52754342,121.4878347,30.73516207,27.32644338,39.31498297,24.53080691,0.781392752,8.876366406,38.49605265,2.116996291,19.68192854,1.312540041
10/13/2020,232,68.11923996,135.5643999,32.99851125,30.00752837,42.51813621,25.20095574,0.798073622,9.071905439,39.95572213,2.476033376,21.87023572,1.468427459
10/14/2020,316,75.58951527,148.3255538,35.68357783,31.66484257,44.9182438,26.10748693,0.845211937,10.01631996,41.66341905,2.647606687,22.49807313,1.486616448
10/15/2020,295,84.33710819,160.8430435,39.09602262,32.1060533,47.90209776,26.55641478,0.958732842,10.37112374,43.5330203,2.926400669,23.70682964,1.639266003
10/16/2020,246,90.08371666,168.4021198,38.25485024,32.04289217,47.77804137,26.93667733,0.875654636,10.8139984,44.64847116,2.897806218,23.45496234,1.766182987
10/17/2020,378,95.71418673,168.7105177,40.11877674,32.2396169,48.1439281,28.24707593,0.912104751,10.87677496,43.83700163,2.946865072,23.28848086,1.635782658
10/18/2020,406,102.7675971,174.9382749,40.48291781,31.39672871,47.76312582,29.12309749,1.032982973,11.52569964,46.15612468,2.853102935,22.35863931,1.660862502
